Dataset,Type,Correct,Total,Accuracy (%),,,,,,,,,,,,
train3,Overall,5491,5710,96.16,val3,Overall,1350,1616,83.54,test3,Overall,707,867,81.55,80%이상 여부,
train3,12X,42,42,100,val3,12X,8,12,66.67,test3,12X,5,6,83.33,FALSE,TRUE
train3,4S 와이드,87,91,95.6,val3,4S 와이드,22,26,84.62,test3,4S 와이드,9,13,69.23,TRUE,FALSE
train3,6.3,96,96,100,val3,6.3,27,27,100,test3,6.3,12,15,80,TRUE,TRUE
train3,A5,55,55,100,val3,A5,14,15,93.33,test3,A5,8,9,88.89,TRUE,TRUE
train3,A7,77,78,98.72,val3,A7,15,22,68.18,test3,A7,11,12,91.67,FALSE,TRUE
train3,IE,47,56,83.93,val3,IE,13,16,81.25,test3,IE,5,9,55.56,TRUE,FALSE
train3,P1,87,87,100,val3,P1,24,25,96,test3,P1,12,13,92.31,TRUE,TRUE
train3,X5,42,48,87.5,val3,X5,8,13,61.54,test3,X5,4,8,50,FALSE,FALSE
train3,가마보코,180,180,100,val3,가마보코,47,51,92.16,test3,가마보코,25,27,92.59,TRUE,TRUE
train3,날로,151,151,100,val3,날로,39,43,90.7,test3,날로,21,23,91.3,TRUE,TRUE
train3,노나돔,150,153,98.04,val3,노나돔,40,43,93.02,test3,노나돔,20,23,86.96,TRUE,TRUE
train3,니악,118,144,81.94,val3,니악,28,41,68.29,test3,니악,10,21,47.62,FALSE,FALSE
train3,도크돔,51,53,96.23,val3,도크돔,12,15,80,test3,도크돔,6,8,75,TRUE,FALSE
train3,라이더스,69,69,100,val3,라이더스,14,19,73.68,test3,라이더스,10,11,90.91,FALSE,TRUE
train3,랜드록,155,158,98.1,val3,랜드록,37,45,82.22,test3,랜드록,16,23,69.57,TRUE,FALSE
train3,랜드브리즈,132,135,97.78,val3,랜드브리즈,28,38,73.68,test3,랜드브리즈,17,20,85,FALSE,TRUE
train3,레이사,174,175,99.43,val3,레이사,48,50,96,test3,레이사,23,25,92,TRUE,TRUE
train3,리빙쉘,172,186,92.47,val3,리빙쉘,41,53,77.36,test3,리빙쉘,21,28,75,FALSE,FALSE
train3,문라이트,89,93,95.7,val3,문라이트,22,26,84.62,test3,문라이트,14,15,93.33,TRUE,TRUE
train3,미라클패밀리,54,54,100,val3,미라클패밀리,9,15,60,test3,미라클패밀리,8,9,88.89,FALSE,TRUE
train3,바랑에르돔,102,103,99.03,val3,바랑에르돔,27,29,93.1,test3,바랑에르돔,15,16,93.75,TRUE,TRUE
train3,발할,74,74,100,val3,발할,17,21,80.95,test3,발할,10,11,90.91,TRUE,TRUE
train3,뱅가드,51,52,98.08,val3,뱅가드,12,15,80,test3,뱅가드,7,8,87.5,TRUE,TRUE
train3,브이타프,62,65,95.38,val3,브이타프,14,18,77.78,test3,브이타프,6,11,54.55,FALSE,FALSE
train3,비무르,155,159,97.48,val3,비무르,38,45,84.44,test3,비무르,21,24,87.5,TRUE,TRUE
train3,비바돔,49,52,94.23,val3,비바돔,12,15,80,test3,비바돔,4,8,50,TRUE,FALSE
train3,빌리지,118,119,99.16,val3,빌리지,33,34,97.06,test3,빌리지,17,18,94.44,TRUE,TRUE
train3,새턴 쉘터,84,95,88.42,val3,새턴 쉘터,22,27,81.48,test3,새턴 쉘터,10,14,71.43,TRUE,FALSE
train3,새턴2룸,81,81,100,val3,새턴2룸,15,23,65.22,test3,새턴2룸,8,13,61.54,FALSE,FALSE
train3,솔로,95,100,95,val3,솔로,22,28,78.57,test3,솔로,15,15,100,FALSE,TRUE
train3,쉘터G,67,68,98.53,val3,쉘터G,16,19,84.21,test3,쉘터G,9,11,81.82,TRUE,TRUE
train3,스텔라릿지,89,89,100,val3,스텔라릿지,24,25,96,test3,스텔라릿지,14,14,100,TRUE,TRUE
train3,아고라,59,67,88.06,val3,아고라,9,19,47.37,test3,아고라,9,11,81.82,FALSE,TRUE
train3,아스가르드,207,214,96.73,val3,아스가르드,54,61,88.52,test3,아스가르드,27,31,87.1,TRUE,TRUE
train3,아퀼라,50,50,100,val3,아퀼라,11,14,78.57,test3,아퀼라,7,8,87.5,FALSE,TRUE
train3,아틀라스,68,99,68.69,val3,아틀라스,9,28,32.14,test3,아틀라스,8,15,53.33,FALSE,FALSE
train3,아티카,59,65,90.77,val3,아티카,14,18,77.78,test3,아티카,7,11,63.64,FALSE,FALSE
train3,알베르게,58,70,82.86,val3,알베르게,10,20,50,test3,알베르게,7,10,70,FALSE,FALSE
train3,알파인돔,88,91,96.7,val3,알파인돔,20,26,76.92,test3,알파인돔,12,13,92.31,FALSE,TRUE
train3,알페임,167,168,99.4,val3,알페임,45,48,93.75,test3,알페임,23,25,92,TRUE,TRUE
train3,어메니티돔,165,166,99.4,val3,어메니티돔,45,47,95.74,test3,어메니티돔,21,25,84,TRUE,TRUE
train3,오토듀얼팔레스,67,68,98.53,val3,오토듀얼팔레스,18,19,94.74,test3,오토듀얼팔레스,9,11,81.82,TRUE,TRUE
train3,와가야노,77,100,77,val3,와가야노,12,28,42.86,test3,와가야노,2,15,13.33,FALSE,FALSE
train3,우나,68,75,90.67,val3,우나,12,21,57.14,test3,우나,7,12,58.33,FALSE,FALSE
train3,우트가르드,159,160,99.38,val3,우트가르드,41,45,91.11,test3,우트가르드,20,24,83.33,TRUE,TRUE
train3,웨더마스터,97,99,97.98,val3,웨더마스터,24,28,85.71,test3,웨더마스터,10,15,66.67,TRUE,FALSE
train3,인디아나,49,49,100,val3,인디아나,13,14,92.86,test3,인디아나,6,7,85.71,TRUE,TRUE
train3,인스턴트업 3p,83,84,98.81,val3,인스턴트업 3p,23,24,95.83,test3,인스턴트업 3p,12,12,100,TRUE,TRUE
train3,캥거루,105,105,100,val3,캥거루,29,30,96.67,test3,캥거루,12,16,75,TRUE,FALSE
train3,코트텐트,154,158,97.47,val3,코트텐트,41,45,91.11,test3,코트텐트,21,23,91.3,TRUE,TRUE
train3,크로노스,90,91,98.9,val3,크로노스,22,26,84.62,test3,크로노스,13,14,92.86,TRUE,TRUE
train3,클라우드업,180,180,100,val3,클라우드업,51,51,100,test3,클라우드업,27,27,100,TRUE,TRUE
train3,투어링돔,93,94,98.94,val3,투어링돔,26,27,96.3,test3,투어링돔,14,14,100,TRUE,TRUE
train3,파프리카,69,69,100,val3,파프리카,19,19,100,test3,파프리카,11,11,100,TRUE,TRUE
train3,패스빅,76,77,98.7,val3,패스빅,19,22,86.36,test3,패스빅,8,12,66.67,TRUE,FALSE
train3,퍼시픽오션,54,54,100,val3,퍼시픽오션,12,15,80,test3,퍼시픽오션,7,9,77.78,TRUE,FALSE
train3,필드터널,94,96,97.92,val3,필드터널,23,27,85.19,test3,필드터널,14,15,93.33,TRUE,TRUE
